[ 2025-09-28 20:57:08,416 ] 16 root - INFO - Initiate the data ingestion
[ 2025-09-28 20:57:09,870 ] 68 root - INFO - Performed train test split on the dataframe
[ 2025-09-28 20:57:09,871 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-28 20:57:09,872 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-28 20:57:09,951 ] 83 root - INFO - Exported train and test file path.
[ 2025-09-28 20:57:09,951 ] 18 root - INFO - Data Initiation completed
[ 2025-09-28 20:57:09,965 ] 22 root - INFO - Initiate the data validation
[ 2025-09-28 20:57:10,076 ] 32 root - INFO - Required number of columns:2
[ 2025-09-28 20:57:10,076 ] 33 root - INFO - Dataframe has columns:31
[ 2025-09-28 20:57:10,076 ] 32 root - INFO - Required number of columns:2
[ 2025-09-28 20:57:10,077 ] 33 root - INFO - Dataframe has columns:31
[ 2025-09-28 20:57:10,320 ] 24 root - INFO - Data Validation Completed
[ 2025-09-28 20:57:10,321 ] 27 root - INFO - Data Transformation Started
[ 2025-09-28 20:57:10,322 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-28 20:57:10,322 ] 65 root - INFO - Starting data transformation
[ 2025-09-28 20:57:10,361 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-09-28 20:57:10,361 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-28 20:57:10,415 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-28 20:57:10,419 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-28 20:57:10,426 ] 31 root - INFO - Data Transformation Completed
[ 2025-09-28 20:57:10,426 ] 33 root - INFO - Model Training sstared
[ 2025-09-28 21:02:36,153 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-28 21:02:36,154 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-28 21:02:36,154 ] 120 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_28_2025_20_57_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907529722589168, precision_score=0.9894459102902374, recall_score=0.9920634920634921), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9791499599037691, precision_score=0.9760191846522782, recall_score=0.9823008849557522))
[ 2025-09-28 21:02:36,163 ] 38 root - INFO - Model Training artifact created
